"","term","gene"
"98","GOBP_DNA_DAMAGE_RESPONSE","Brsk1"
"99","GOBP_DNA_DAMAGE_RESPONSE","Btg2"
"100","GOBP_DNA_DAMAGE_RESPONSE","Casp2"
"101","GOBP_DNA_DAMAGE_RESPONSE","Casp3"
"102","GOBP_DNA_DAMAGE_RESPONSE","Casp9"
"103","GOBP_DNA_DAMAGE_RESPONSE","Cbx1"
"104","GOBP_DNA_DAMAGE_RESPONSE","Cbx3"
"105","GOBP_DNA_DAMAGE_RESPONSE","Cbx5"
"106","GOBP_DNA_DAMAGE_RESPONSE","Cbx8"
"107","GOBP_DNA_DAMAGE_RESPONSE","Ccar2"
"108","GOBP_DNA_DAMAGE_RESPONSE","Ccdc117"
"109","GOBP_DNA_DAMAGE_RESPONSE","Ccdc13"
"110","GOBP_DNA_DAMAGE_RESPONSE","Ccnd1"
"111","GOBP_DNA_DAMAGE_RESPONSE","Ccng1"
"112","GOBP_DNA_DAMAGE_RESPONSE","Ccnk"
"113","GOBP_DNA_DAMAGE_RESPONSE","Cd44"
"114","GOBP_DNA_DAMAGE_RESPONSE","Cd74"
"115","GOBP_DNA_DAMAGE_RESPONSE","Cdc14b"
"116","GOBP_DNA_DAMAGE_RESPONSE","Cdc45"
"117","GOBP_DNA_DAMAGE_RESPONSE","Cdc5l"
"118","GOBP_DNA_DAMAGE_RESPONSE","Cdc7"
"119","GOBP_DNA_DAMAGE_RESPONSE","Cdca5"
"120","GOBP_DNA_DAMAGE_RESPONSE","Cdip1"
"121","GOBP_DNA_DAMAGE_RESPONSE","Cdk1"
"122","GOBP_DNA_DAMAGE_RESPONSE","Cdk2"
"123","GOBP_DNA_DAMAGE_RESPONSE","Cdk5"
"124","GOBP_DNA_DAMAGE_RESPONSE","Cdk5rap3"
"125","GOBP_DNA_DAMAGE_RESPONSE","Cdk6"
"126","GOBP_DNA_DAMAGE_RESPONSE","Cdk7"
"127","GOBP_DNA_DAMAGE_RESPONSE","Cdk9"
"128","GOBP_DNA_DAMAGE_RESPONSE","Cdkn1a"
"129","GOBP_DNA_DAMAGE_RESPONSE","Cdkn2a"
"130","GOBP_DNA_DAMAGE_RESPONSE","Cdkn2aip"
"131","GOBP_DNA_DAMAGE_RESPONSE","Cdkn2d"
"132","GOBP_DNA_DAMAGE_RESPONSE","Cdkn3"
"133","GOBP_DNA_DAMAGE_RESPONSE","Cebpg"
"134","GOBP_DNA_DAMAGE_RESPONSE","Cenps"
"135","GOBP_DNA_DAMAGE_RESPONSE","Cenpx"
"136","GOBP_DNA_DAMAGE_RESPONSE","Cep164"
"137","GOBP_DNA_DAMAGE_RESPONSE","Cep63"
"138","GOBP_DNA_DAMAGE_RESPONSE","Cetn1"
"139","GOBP_DNA_DAMAGE_RESPONSE","Cetn2"
"140","GOBP_DNA_DAMAGE_RESPONSE","Cetn4"
"141","GOBP_DNA_DAMAGE_RESPONSE","Cfap410"
"142","GOBP_DNA_DAMAGE_RESPONSE","Cgas"
"143","GOBP_DNA_DAMAGE_RESPONSE","Chaf1a"
"144","GOBP_DNA_DAMAGE_RESPONSE","Chaf1b"
"145","GOBP_DNA_DAMAGE_RESPONSE","Chchd4"
"146","GOBP_DNA_DAMAGE_RESPONSE","Chchd6"
"147","GOBP_DNA_DAMAGE_RESPONSE","Chd1l"
"148","GOBP_DNA_DAMAGE_RESPONSE","Chd2"
"149","GOBP_DNA_DAMAGE_RESPONSE","Chd4"
"150","GOBP_DNA_DAMAGE_RESPONSE","Chek1"
"151","GOBP_DNA_DAMAGE_RESPONSE","Chek2"
"152","GOBP_DNA_DAMAGE_RESPONSE","Chrna4"
"153","GOBP_DNA_DAMAGE_RESPONSE","Cib1"
"154","GOBP_DNA_DAMAGE_RESPONSE","Cinp"
"155","GOBP_DNA_DAMAGE_RESPONSE","Clock"
"156","GOBP_DNA_DAMAGE_RESPONSE","Clspn"
"157","GOBP_DNA_DAMAGE_RESPONSE","Clu"
"158","GOBP_DNA_DAMAGE_RESPONSE","Commd1"
"159","GOBP_DNA_DAMAGE_RESPONSE","Cops3"
"160","GOBP_DNA_DAMAGE_RESPONSE","Cradd"
"161","GOBP_DNA_DAMAGE_RESPONSE","Creb3l1"
"162","GOBP_DNA_DAMAGE_RESPONSE","Crip1"
"163","GOBP_DNA_DAMAGE_RESPONSE","Cry1"
"164","GOBP_DNA_DAMAGE_RESPONSE","Ctc1"
"165","GOBP_DNA_DAMAGE_RESPONSE","Ctla4"
"166","GOBP_DNA_DAMAGE_RESPONSE","Cul4a"
"167","GOBP_DNA_DAMAGE_RESPONSE","Cul4b"
